sex,row_number,liters_drunk,age,drink,check_number,label
Не указан,78.0,4,74,Bugbeer,5213,1
М,0.0,1,46,Cola,830,0
Ж,77.0,3,11,Water,4520,1
Не указан,27.0,3,77,Cola,1001,1
Не указан,19.0,37330841,25,Water,3717,1
Не указан,5.0,21519033,77,Strong beer,3847,0
Ж,48.0,3,63,Bugbeer,4408,0
М,83.0,5,13,Water,8163,1
Не указан,12.0,1,15,Water,4286,1
Не указан,98.0,1,77,Bugbeer,506,0
М,29.0,-3,63,Fanta,2608,0
Ж,87.0,2,34,Bugbeer,745,1
М,,3,74,Cola,5595,0
Ж,,5,31,Cola,2294,1
Не указан,85.0,2,29,Bugbeer,7637,0
М,42.0,2,28,Water,2595,0
Не указан,99.0,5,12,Water,5696,1
М,70.0,3,58,Fanta,5902,1
Ж,7.0,2,15,Cola,4800,1
М,8.0,0,45,Water,9859,1
М,96.0,2,28,Water,7648,0
М,23.0,5,72,Strong beer,3011,1
М,16.0,2,28,Bugbeer,6912,0
Не указан,10.0,1,73,Strong beer,259,0
Ж,44.0,4,38,Cola,937,0
Не указан,15.0,12226483,45,Bugbeer,2395,0
М,93.0,1,45,Cola,9303,0
Не указан,71.0,5,31,Fanta,7391,0
М,16.0,3,63,Strong beer,3750,1
Не указан,55.0,2,45,Beerbeer,9651,1
Ж,9.0,5,27,Strong beer,2367,1
Не указан,99.0,5,25,Beerbeer,3026,1
Не указан,65.0,0,48,Cola,422,1
Ж,9.0,0,70,Water,7185,1
М,45.0,2,49,Strong beer,7959,1
М,30.0,5,43,Fanta,2546,1
Ж,17.0,0,80,Cola,2193,0
М,9.0,3,80,Strong beer,7851,1
М,98.0,-5,53,Cola,1411,1
Ж,77.0,4,70,Cola,907,0
М,27.0,2,47,Water,8777,1
Не указан,61.0,0,25,Strong beer,7052,1
М,91.0,4,65,Fanta,8738,0
М,24.0,0,57,Strong beer,6615,1
Ж,41.0,5,17,Fanta,4945,1
Ж,91.0,1,68,Fanta,9076,0
Не указан,77.0,3,62,Cola,2034,1
Ж,12.0,0,30,Beerbeer,3502,0
М,82.0,4,76,Beerbeer,5950,1
М,8.0,2,18,Cola,9518,1
Ж,94.0,5,55,Bugbeer,5689,1
Ж,59.0,1,76,Cola,2048,0
Не указан,65.0,4,56,Fanta,873,1
Ж,23.0,4,24,Strong beer,8392,1
М,70.0,19650178,18,Water,4303,0
М,2.0,1,49,Beerbeer,2561,0
М,,38812202,31,Bugbeer,3639,0
Не указан,56.0,2,70,Fanta,3721,0
М,85.0,1,19,Water,5586,0
Ж,43.0,2,77,Bugbeer,7009,1
Ж,81.0,5,62,Water,8532,0
Ж,86.0,3,17,Water,9526,0
Не указан,82.0,0,15,Cola,817,0
М,50.0,4,68,Water,8961,1
Не указан,25.0,4,44,Strong beer,8728,1
Ж,64.0,0,55,Water,3133,1
Не указан,56.0,3,75,Bugbeer,7838,0
Не указан,,-3,67,Fanta,8490,1
Ж,20.0,0,68,Strong beer,3653,1
Ж,4.0,4,63,Cola,4122,1
М,89.0,4,51,Strong beer,4605,1
М,35.0,3,45,Cola,341,1
М,7.0,2,69,Strong beer,9467,0
М,86.0,4,34,Strong beer,223,1
М,14.0,5,45,Bugbeer,3641,1
М,64.0,3,62,Cola,8099,0
М,42.0,1,64,Fanta,1160,0
М,57.0,3,23,Strong beer,7139,1
Не указан,39.0,0,28,Beerbeer,1703,1
Не указан,85.0,4,29,Strong beer,8100,1
М,75.0,0,18,Cola,7807,1
Ж,95.0,4,24,Bugbeer,3321,1
Ж,54.0,2,11,Fanta,31,1
Не указан,56.0,1,12,Fanta,1299,1
Ж,64.0,0,22,Strong beer,8879,1
М,36.0,0,22,Bugbeer,1165,0
Не указан,94.0,4,10,Water,1642,0
М,64.0,1,23,Fanta,1699,0
Не указан,43.0,2,34,Cola,1744,1
Ж,72.0,3,64,Water,1988,0
Ж,42.0,0,47,Bugbeer,4879,1
Ж,55.0,4,62,Cola,4386,0
Не указан,22.0,2,37,Fanta,3940,0
М,95.0,0,14,Water,4529,1
М,94.0,4,52,Strong beer,9452,0
М,31.0,0,62,Cola,7612,0
Ж,99.0,0,22,Cola,562,1
М,66.0,2,69,Fanta,9291,1
М,22.0,0,79,Bugbeer,4102,1
Ж,84.0,0,72,Strong beer,9249,1
Не указан,65.0,2,42,Water,3369,0
М,93.0,0,25,Strong beer,8858,0
Ж,97.0,5,38,Fanta,8872,0
М,62.0,5,58,Bugbeer,15,1
М,74.0,3,78,Water,5352,0
Не указан,82.0,0,30,Beerbeer,3088,1
Ж,87.0,1,49,Bugbeer,9201,1
М,77.0,4,16,Fanta,3619,1
Не указан,54.0,2,73,Bugbeer,5341,0
Ж,79.0,0,62,Bugbeer,2814,0
Ж,34.0,3,30,Water,4853,0
М,81.0,0,45,Beerbeer,4028,1
М,16.0,5,43,Bugbeer,7221,1
Не указан,75.0,2,41,Bugbeer,4542,1
Не указан,47.0,3,28,Fanta,975,1
Ж,35.0,3,38,Bugbeer,1379,1
Не указан,49.0,4,26,Fanta,2616,1
Не указан,56.0,3,38,Bugbeer,6989,1
М,4.0,4,70,Water,7259,1
М,7.0,5,47,Bugbeer,4854,1
М,6.0,1,27,Water,6746,1
Ж,4.0,3,51,Water,5834,0
М,2.0,1,25,Cola,6826,1
Ж,42.0,4,48,Beerbeer,3698,1
Не указан,35.0,4,18,Cola,7400,1
М,62.0,0,11,Water,4676,1
М,27.0,0,48,Fanta,4673,1
М,93.0,1,44,Bugbeer,8377,1
М,69.0,5,61,Strong beer,4076,1
М,38.0,3,26,Bugbeer,4980,0
Не указан,33.0,0,25,Bugbeer,7219,1
Не указан,43.0,2,50,Fanta,8486,0
Не указан,69.0,4,37,Cola,5429,1
Не указан,50.0,4,34,Cola,6133,1
Ж,96.0,2,74,Water,426,0
Не указан,13.0,1,78,Fanta,5807,0
Ж,50.0,3,73,Beerbeer,4204,0
Не указан,,4,44,Water,5610,1
М,67.0,0,61,Bugbeer,7754,1
Не указан,96.0,1,75,Beerbeer,1934,0
М,78.0,-5,79,Strong beer,8091,0
Не указан,32.0,2,56,Bugbeer,328,1
Не указан,96.0,4,13,Cola,7111,1
М,74.0,5,51,Strong beer,4588,0
Не указан,7.0,80675226,16,Cola,1180,1
М,20.0,0,66,Strong beer,1919,1
Не указан,95.0,0,18,Water,5486,0
Ж,42.0,0,18,Fanta,6891,0
М,17.0,5,34,Cola,4448,0
М,24.0,4,53,Bugbeer,2022,0
М,52.0,5,24,Water,1925,1
Ж,70.0,0,72,Strong beer,4626,1
Не указан,78.0,5,15,Cola,7105,1
М,65.0,1,42,Cola,2145,0
М,52.0,-3,15,Water,4201,1
Ж,96.0,2,41,Strong beer,7376,0
М,29.0,0,64,Strong beer,316,1
Ж,42.0,2,45,Beerbeer,5432,0
Не указан,43.0,3,47,Water,2571,1
М,76.0,1,24,Fanta,960,0
Не указан,62.0,4,29,Water,9355,0
Не указан,22.0,-5,44,Cola,689,0
Ж,94.0,62077583,61,Fanta,3715,0
Ж,80.0,1,42,Bugbeer,2203,1
Не указан,74.0,4,38,Bugbeer,2056,1
М,61.0,3959509,48,Water,5479,0
Ж,53.0,-6,29,Fanta,4113,1
Не указан,53.0,2,52,Bugbeer,8501,1
Ж,55.0,5,36,Water,1126,0
Ж,52.0,0,58,Beerbeer,8167,0
Не указан,63.0,3,41,Bugbeer,1449,0
М,31.0,4,37,Cola,9486,1
М,69.0,2,66,Beerbeer,5954,1
Не указан,95.0,5,44,Fanta,1045,1
М,48.0,4,10,Fanta,3534,0
Ж,10.0,4,75,Beerbeer,3274,1
Не указан,0.0,51856694,78,Cola,8999,0
М,76.0,5,14,Fanta,6094,1
Ж,38.0,2,31,Bugbeer,6488,1
М,60.0,4,57,Fanta,3246,1
М,73.0,5,16,Water,2410,1
М,37.0,5,51,Bugbeer,1069,1
Ж,1.0,5,56,Cola,8251,1
М,29.0,5,37,Strong beer,9898,1
Ж,84.0,0,63,Fanta,8195,0
М,12.0,5,26,Water,9141,0
Не указан,64.0,5,72,Fanta,8983,0
Ж,35.0,2,58,Beerbeer,5641,1
М,66.0,3,73,Water,6879,0
М,20.0,1,69,Bugbeer,9838,0
М,83.0,1,46,Strong beer,8715,1
М,77.0,65664756,12,Fanta,9693,1
М,40.0,2,17,Water,7171,0
М,80.0,4,38,Cola,4461,1
М,93.0,2,52,Strong beer,987,0
М,45.0,0,76,Cola,3007,0
Ж,16.0,20967408,80,Cola,145,1
Ж,44.0,1,34,Strong beer,3550,0
Ж,30.0,1,18,Water,4365,1
Не указан,2.0,2,10,Water,8714,1
Ж,38.0,0,39,Beerbeer,9269,1
М,51.0,0,18,Fanta,5374,0
Не указан,,1,39,Fanta,3682,1
Ж,,-3,33,Beerbeer,5011,1
Не указан,82.0,1,20,Water,1775,1
Ж,86.0,2,33,Bugbeer,7367,1
Не указан,78.0,5,71,Fanta,8242,0
М,89.0,3,22,Strong beer,2920,1
М,55.0,4,26,Fanta,297,1
Ж,77.0,1,16,Water,1407,0
М,36.0,2,73,Beerbeer,2187,1
Ж,54.0,4,71,Beerbeer,2180,1
Ж,98.0,2,71,Beerbeer,1720,1
Ж,28.0,0,16,Fanta,3886,0
Не указан,,0,62,Beerbeer,3912,0
Не указан,15.0,26100075,35,Fanta,4952,0
Не указан,65.0,2,67,Water,8702,1
М,87.0,2,41,Beerbeer,5297,1
Не указан,8.0,2,68,Bugbeer,7608,1
М,20.0,3,25,Cola,7435,1
М,76.0,1,27,Beerbeer,2388,1
Ж,10.0,3,11,Cola,1464,0
Ж,8.0,1,50,Bugbeer,3204,1
Не указан,71.0,63128241,71,Cola,7345,0
Не указан,74.0,42766853,80,Water,304,1
М,71.0,5,39,Bugbeer,4098,1
М,86.0,3,12,Fanta,4393,1
Не указан,5.0,0,31,Fanta,4940,0
М,67.0,2,39,Bugbeer,2368,0
Ж,,-6,59,Beerbeer,1586,0
Ж,85.0,3,35,Bugbeer,4982,1
Ж,13.0,4,27,Water,3170,1
Не указан,35.0,2,64,Beerbeer,5455,1
М,21.0,0,73,Fanta,2325,1
М,71.0,2,63,Water,9619,1
М,89.0,4,75,Cola,6167,0
Ж,59.0,3,18,Fanta,2481,0
Не указан,98.0,1,15,Water,9578,1
Не указан,97.0,5,71,Cola,554,1
Не указан,41.0,5,50,Bugbeer,6909,0
М,67.0,0,79,Bugbeer,895,0
Ж,83.0,-1,38,Water,4743,0
Не указан,87.0,0,35,Water,6142,1
М,86.0,1,78,Strong beer,5003,0
Ж,92.0,3,22,Beerbeer,6686,1
М,18.0,1,34,Cola,8125,0
Не указан,44.0,2,21,Bugbeer,1080,1
Не указан,6.0,1,57,Bugbeer,3300,0
М,45.0,3,16,Cola,2414,0
Не указан,19.0,5,75,Cola,5365,1
М,,5,53,Water,6820,1
Ж,28.0,0,17,Water,125,1
Ж,65.0,4,28,Water,3076,1
М,81.0,3,71,Strong beer,1991,1
М,11.0,0,16,Cola,6165,1
Ж,72.0,41769085,21,Beerbeer,6479,1
Не указан,75.0,4,66,Bugbeer,7138,0
Не указан,97.0,3779416,37,Water,2982,1
Ж,40.0,3,63,Fanta,4740,1
М,58.0,2,52,Cola,874,0
Не указан,47.0,5,77,Water,1976,0
Ж,,5,48,Beerbeer,1402,1
Ж,47.0,2,32,Strong beer,8381,0
Ж,8.0,2,21,Fanta,2033,1
Не указан,24.0,0,45,Bugbeer,7595,1
Не указан,59.0,3,33,Cola,4141,1
Ж,71.0,3,17,Fanta,5323,1
Ж,28.0,3,79,Strong beer,67,1
М,62.0,3,19,Cola,256,1
М,98.0,4,45,Fanta,6312,0
М,48.0,4,11,Water,783,1
Не указан,60.0,0,49,Cola,835,1
М,98.0,3,35,Cola,5143,1
Не указан,16.0,0,71,Strong beer,4470,0
Ж,16.0,3,51,Strong beer,8305,1
Ж,47.0,0,66,Water,7675,1
Ж,76.0,2,10,Water,6595,1
Ж,29.0,4,50,Cola,3435,1
М,,2,52,Beerbeer,463,0
Ж,18.0,0,63,Strong beer,8613,0
М,11.0,4,45,Strong beer,3705,1
М,,38816112,65,Fanta,4483,1
М,2.0,5,80,Water,7324,0
Ж,,1,65,Bugbeer,3433,0
Ж,54.0,-3,22,Strong beer,5489,0
Ж,21.0,1,34,Beerbeer,3806,1
М,,4,56,Fanta,9055,0
Не указан,26.0,1,17,Water,7870,0
Не указан,47.0,3,48,Fanta,5248,1
Ж,70.0,2,69,Beerbeer,9182,0
Ж,58.0,5,15,Fanta,3296,1
Не указан,24.0,0,58,Fanta,7680,1
Не указан,38.0,10856059,75,Water,7010,1
М,36.0,4,75,Strong beer,6627,0
Не указан,,3,49,Bugbeer,2156,0
М,77.0,4,17,Cola,568,1
Ж,80.0,5,15,Cola,1391,1
Не указан,48.0,3,16,Fanta,3516,1
М,7.0,-2,69,Cola,4491,1
Ж,47.0,5,25,Strong beer,7683,1
Не указан,51.0,2,30,Water,9699,0
Не указан,32.0,0,62,Beerbeer,2562,1
Не указан,95.0,5,55,Water,5461,1
М,56.0,4,38,Fanta,5830,1
Не указан,89.0,0,55,Water,8045,0
М,25.0,1,62,Water,6111,1
Не указан,84.0,2,21,Cola,102,1
М,1.0,4,18,Water,1571,0
Ж,,4,24,Strong beer,8567,1
М,9.0,4,56,Bugbeer,1536,1
Ж,75.0,4,48,Cola,1245,1
М,50.0,2,62,Cola,6775,1
Не указан,69.0,5,28,Water,8299,1
Не указан,48.0,2,43,Water,1280,0
Ж,18.0,0,13,Water,4404,0
Не указан,36.0,0,65,Beerbeer,7170,1
Не указан,94.0,4,77,Beerbeer,6458,1
Ж,85.0,4,15,Fanta,8165,0
Не указан,95.0,2,40,Strong beer,3097,1
М,2.0,-6,33,Water,5990,0
Не указан,69.0,0,65,Water,3411,0
Не указан,55.0,3,22,Fanta,9520,0
Не указан,4.0,5,70,Water,3430,1
М,0.0,3,44,Fanta,1436,1
Не указан,15.0,2,16,Fanta,5243,1
М,57.0,2,40,Fanta,8726,1
М,72.0,4,42,Water,7968,0
Ж,24.0,2,64,Water,8561,0
М,,1,57,Water,2965,0
М,21.0,3,15,Water,7613,1
Не указан,59.0,0,59,Bugbeer,2238,0
М,,1,79,Water,7729,0
Не указан,18.0,3,27,Fanta,6075,0
Не указан,30.0,40201550,45,Cola,2566,1
Не указан,20.0,1,51,Beerbeer,5391,1
М,30.0,-1,77,Bugbeer,1893,0
Не указан,43.0,5,46,Beerbeer,9983,1
М,85.0,4,70,Water,4619,0
Не указан,45.0,4,71,Water,473,1
Ж,1.0,5,68,Bugbeer,6676,0
Не указан,36.0,3,52,Fanta,6837,1
Ж,67.0,4,51,Beerbeer,2184,1
Не указан,31.0,5,46,Beerbeer,9483,1
М,73.0,4,51,Beerbeer,103,1
М,40.0,5,53,Water,4922,0
М,11.0,3,30,Strong beer,2511,0
Ж,61.0,3,75,Cola,3308,1
Ж,88.0,4,29,Strong beer,5206,1
Ж,28.0,1,38,Beerbeer,9620,0
Ж,43.0,1,20,Cola,8583,1
Ж,37.0,5,35,Fanta,4736,1
Не указан,59.0,5,26,Water,9802,1
М,40.0,12071121,37,Water,1731,0
Ж,,5,54,Strong beer,3897,1
М,,0,27,Fanta,4152,0
Ж,78.0,3,31,Fanta,3080,0
М,49.0,92342463,76,Water,6881,1
Ж,72.0,0,77,Water,7255,0
Не указан,64.0,0,49,Strong beer,5471,1
Не указан,47.0,2,56,Water,1095,0
Ж,24.0,0,50,Bugbeer,1763,0
Ж,25.0,5,77,Beerbeer,219,0
М,21.0,0,25,Fanta,4732,1
Не указан,98.0,0,51,Strong beer,7232,0
Не указан,44.0,1,18,Fanta,5932,0
Ж,45.0,0,78,Beerbeer,9729,1
М,44.0,1,56,Fanta,8398,0
Не указан,15.0,6300247,20,Fanta,9544,1
М,21.0,2,32,Strong beer,8859,1
Не указан,11.0,4,77,Water,8046,1
М,3.0,0,66,Beerbeer,8424,0
Ж,96.0,0,18,Fanta,8556,1
Ж,83.0,3,35,Water,2445,0
Не указан,77.0,3,64,Bugbeer,6762,0
Не указан,56.0,2,38,Cola,2720,1
Не указан,69.0,-2,67,Water,9029,1
Ж,15.0,3,73,Water,1474,1
Не указан,16.0,4,70,Cola,706,0
Ж,33.0,1,35,Cola,8170,0
Ж,38.0,2,26,Strong beer,7095,0
Ж,56.0,4,78,Fanta,4836,0
М,37.0,5,63,Bugbeer,797,0
М,50.0,0,73,Cola,496,1
Ж,1.0,1,36,Fanta,7671,1
Ж,50.0,3,61,Fanta,749,1
М,1.0,0,31,Fanta,241,0
Ж,20.0,4,59,Cola,6625,1
М,17.0,2,27,Cola,1664,1
Ж,9.0,0,52,Beerbeer,9545,0
М,92.0,4,67,Water,2599,0
Ж,0.0,16327277,17,Water,2459,0
М,54.0,2,68,Water,9214,1
Ж,68.0,5,27,Water,7012,1
М,52.0,4,44,Water,5782,1
Не указан,89.0,4,32,Strong beer,8781,1
М,16.0,4,80,Bugbeer,311,0
Не указан,19.0,43432600,55,Fanta,2708,1
Ж,99.0,0,77,Water,7032,0
Ж,31.0,2,73,Beerbeer,9697,1
М,14.0,4,22,Water,6777,1
М,28.0,5,38,Strong beer,531,1
Ж,42.0,1,31,Bugbeer,4278,0
М,11.0,2,63,Strong beer,906,1
Ж,25.0,2,43,Bugbeer,1265,0
Не указан,63.0,4,12,Fanta,8054,1
М,45.0,2,71,Strong beer,9098,1
Не указан,93.0,4,13,Cola,4552,0
М,62.0,5,47,Bugbeer,8471,1
Ж,19.0,5,62,Strong beer,8758,0
Не указан,,5,61,Cola,2952,0
Ж,4.0,2,79,Cola,9240,0
Не указан,75.0,0,17,Cola,3209,0
М,15.0,2,21,Bugbeer,1673,1
Не указан,2.0,5,71,Strong beer,2528,1
Не указан,15.0,0,17,Fanta,4445,0
Не указан,13.0,-2,66,Strong beer,840,0
М,20.0,56925718,80,Fanta,2631,1
М,12.0,5,66,Fanta,6358,0
Не указан,62.0,2,65,Water,5573,1
М,69.0,4,15,Fanta,5677,1
М,69.0,0,59,Strong beer,104,1
Ж,53.0,3,20,Fanta,1009,1
Ж,74.0,2,77,Strong beer,951,1
М,86.0,1,30,Water,3513,1
Не указан,83.0,1,79,Cola,9533,0
Не указан,7.0,5,15,Cola,5716,1
М,63.0,4,80,Bugbeer,5708,0
Не указан,81.0,1,65,Fanta,9519,1
Ж,26.0,3,72,Beerbeer,1144,1
Ж,100.0,5,46,Bugbeer,8796,1
Ж,15.0,0,59,Strong beer,1336,1
Ж,16.0,2,63,Strong beer,7328,1
Ж,61.0,4,42,Fanta,5749,0
Не указан,99.0,3,61,Fanta,3084,1
Не указан,71.0,5,78,Strong beer,5349,0
М,21.0,3,77,Beerbeer,6092,1
М,32.0,0,75,Cola,1759,0
М,25.0,4,61,Water,8608,0
М,15.0,83751649,66,Fanta,6370,1
Не указан,34.0,2,36,Bugbeer,913,1
М,29.0,4,14,Cola,196,0
Ж,,5,45,Cola,2972,1
Не указан,42.0,4,65,Cola,3163,1
М,62.0,2,55,Cola,3089,0
М,45.0,3,21,Water,6983,1
Не указан,44.0,84953144,42,Cola,6415,1
М,61.0,5,80,Fanta,8694,0
Не указан,35.0,0,22,Bugbeer,2554,1
Ж,88.0,5,28,Beerbeer,110,1
М,56.0,2,51,Water,8652,0
М,18.0,2,49,Cola,781,0
Ж,60.0,2,62,Bugbeer,7887,0
М,43.0,2,37,Fanta,9685,1
Не указан,8.0,2,60,Bugbeer,9219,1
Ж,21.0,1,11,Cola,9418,0
М,46.0,5,43,Beerbeer,2790,1
Не указан,11.0,0,61,Bugbeer,3220,1
Не указан,20.0,40251162,48,Water,5975,1
Не указан,75.0,2,20,Water,3624,1
Не указан,75.0,0,15,Water,4712,0
М,40.0,3,14,Fanta,4197,1
Не указан,40.0,5,67,Cola,5422,0
Ж,32.0,4,29,Beerbeer,3305,1
М,24.0,5,24,Strong beer,2233,1
Не указан,88.0,2,55,Water,2457,0
Не указан,89.0,78148783,49,Fanta,7033,0
Ж,79.0,5,54,Water,2581,0
Не указан,28.0,1,51,Strong beer,645,1
Не указан,80.0,5,60,Beerbeer,1937,0
Не указан,12.0,4,54,Cola,618,0
М,93.0,5,15,Fanta,8656,1
М,78.0,2,15,Fanta,1936,1
Ж,34.0,0,14,Water,9987,1
Не указан,23.0,4,68,Fanta,191,0
М,15.0,4,77,Fanta,4954,0
Ж,63.0,1,11,Cola,189,1
Не указан,48.0,5,52,Beerbeer,4363,0
М,60.0,4,24,Strong beer,6648,1
Не указан,1.0,-1,79,Water,9961,1
М,76.0,5,58,Water,8142,1
Не указан,57.0,5,27,Water,5203,0
Не указан,38.0,0,72,Strong beer,3576,0
Не указан,1.0,4,71,Water,1618,1
М,51.0,5,16,Water,315,1
М,47.0,0,54,Bugbeer,1206,1
М,77.0,2,56,Cola,3225,0
М,14.0,5,74,Water,831,0
Ж,86.0,5,28,Cola,7540,0
Не указан,56.0,5,60,Fanta,3480,0
М,32.0,5,34,Strong beer,6610,1
Не указан,3.0,4,13,Fanta,628,0
М,41.0,1,55,Cola,7565,0
Не указан,47.0,3,17,Cola,6526,1
Не указан,45.0,0,74,Strong beer,2211,1
М,63.0,3,68,Bugbeer,752,0
М,93.0,2,66,Cola,8146,1
Ж,,4,60,Bugbeer,9325,1
Ж,68.0,0,41,Bugbeer,3942,0
Не указан,63.0,5,28,Cola,8397,1
